"Id", "date_photo", "dossier_media", "photo", "photo_IR", "verite_terrain", "materiel", "focale", "sensibilite", "spectre_ir", "tps_expo", "hauteur", "largeur", "heure", "lieu", "region", "position_GPS", "direction_feu", "taux_occupation", "couleur_dominante", "densite", "taux_supperposition", "couleur_fumees", "luminosite", "vegetation", "moment", "nuage", "distance", "presence", "valid", "proprietaire", "sequence", "numimage"
"2795", "20/06/14", "00505", "seq05_rgb_001.png", "seq05_nir_001.png", "seq05_gt_001.png", "JAI AD-80GE", "6", "0", "NIR: 0.74-1 µm", "0", "768", "1024", "00:00:00", "Plateau expérimental - Corte", "Haute-Corse", " 42°17'59.40"N ;   9°10'31.40"E", "se rapproche/moves close", "1", "autre/other", "0", "80", "grise/grey", "41", "frisure de bois/crimp wood", "", "0", "", "hommes/men", "1", "Université de Corse", "5", "1"
"2796", "20/06/14", "00505", "seq05_rgb_002.png", "seq05_nir_002.png", "seq05_gt_002.png", "", "0", "0", "", "0", "768", "1024", "00:00:00", "Plateau expérimental - Corte", "", "", "", "1", "rouge/red", "0", "70", "", "41", "", "", "0", "", "", "1", "Université de Corse", "5", "2"
"2797", "20/06/14", "00505", "seq05_rgb_003.png", "seq05_nir_003.png", "seq05_gt_003.png", "", "0", "0", "", "0", "76", "332", "00:00:00", "Plateau expérimental - Corte", "", "", "", "1", "rouge/red", "0", "77", "", "40", "", "", "0", "", "", "1", "Université de Corse", "5", "3"
"2798", "20/06/14", "00505", "seq05_rgb_004.png", "seq05_nir_004.png", "seq05_gt_004.png", "", "0", "0", "", "0", "118", "313", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "0", "68", "", "40", "", "", "0", "", "", "1", "Université de Corse", "5", "4"
"2799", "20/06/14", "00505", "seq05_rgb_005.png", "seq05_nir_005.png", "seq05_gt_005.png", "", "0", "0", "", "0", "106", "326", "00:00:00", "Plateau expérimental - Corte", "", "", "", "2", "rouge/red", "0", "43", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "5"
"2800", "20/06/14", "00505", "seq05_gt_006.png", "seq05_nir_006.png", "seq05_rgb_006.png", "", "0", "0", "", "0", "143", "355", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "0", "47", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "6"
"2801", "20/06/14", "00505", "seq05_rgb_007.png", "seq05_nir_007.png", "seq05_gt_007.png", "", "0", "0", "", "0", "168", "382", "00:00:00", "Plateau expérimental - Corte", "", "", "", "3", "rouge/red", "0", "42", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "7"
"2802", "20/06/14", "00505", "seq05_rgb_008.png", "seq05_nir_008.png", "seq05_gt_008.png", "", "0", "0", "", "0", "159", "341", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "37", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "8"
"2803", "20/06/14", "00505", "seq05_rgb_009.png", "seq05_nir_009.png", "seq05_gt_009.png", "", "0", "0", "", "0", "282", "330", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "30", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "9"
"2804", "20/06/14", "00505", "seq05_rgb_010.png", "seq05_nir_010.png", "seq05_gt_010.png", "", "0", "0", "", "0", "259", "368", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "26", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "10"
"2805", "20/06/14", "00505", "seq05_rgb_011.png", "seq05_nir_011.png", "seq05_gt_011.png", "", "0", "0", "", "0", "225", "369", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "32", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "11"
"2806", "20/06/14", "00505", "seq05_rgb_012.png", "seq05_nir_012.png", "seq05_gt_012.png", "", "0", "0", "", "0", "276", "352", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "1", "15", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "12"
"2807", "20/06/14", "00505", "seq05_rgb_013.png", "seq05_nir_013.png", "seq05_gt_013.png", "", "0", "0", "", "0", "310", "372", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "33", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "13"
"2808", "20/06/14", "00505", "seq05_rgb_014.png", "seq05_nir_014.png", "seq05_gt_014.png", "", "0", "0", "", "0", "183", "376", "00:00:00", "Plateau expérimental - Corte", "", "", "", "5", "rouge/red", "0", "17", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "14"
"2809", "20/06/14", "00505", "seq05_rgb_015.png", "seq05_nir_015.png", "seq05_gt_015.png", "", "0", "0", "", "0", "199", "384", "00:00:00", "Plateau expérimental - Corte", "", "", "", "5", "rouge/red", "0", "20", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "15"
"2810", "20/06/14", "00505", "seq05_rgb_016.png", "seq05_nir_016.png", "seq05_gt_016.png", "", "0", "0", "", "0", "197", "404", "00:00:00", "Plateau expérimental - Corte", "", "", "", "5", "rouge/red", "0", "37", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "16"
"2811", "20/06/14", "00505", "seq05_rgb_017.png", "seq05_nir_017.png", "seq05_gt_017.png", "", "0", "0", "", "0", "195", "402", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "35", "", "37", "", "", "0", "", "", "1", "Université de Corse", "5", "17"
"2812", "20/06/14", "00505", "seq05_rgb_018.png", "seq05_nir_018.png", "seq05_gt_018.png", "", "0", "0", "", "0", "167", "417", "00:00:00", "Plateau expérimental - Corte", "", "", "", "4", "rouge/red", "0", "24", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "18"
"2813", "20/06/14", "00505", "seq05_rgb_019.png", "seq05_nir_019.png", "seq05_gt_019.png", "", "0", "0", "", "0", "195", "519", "00:00:00", "Plateau expérimental - Corte", "", "", "", "6", "rouge/red", "0", "27", "", "40", "", "", "0", "", "", "1", "Université de Corse", "5", "19"
"2814", "20/06/14", "00505", "seq05_rgb_020.png", "seq05_nir_020.png", "seq05_gt_020.png", "", "0", "0", "", "0", "264", "575", "00:00:00", "Plateau expérimental - Corte", "", "", "", "8", "rouge/red", "0", "40", "", "41", "", "", "0", "", "", "1", "Université de Corse", "5", "20"
"2815", "20/06/14", "00505", "seq05_rgb_021.png", "seq05_nir_021.png", "seq05_gt_021.png", "", "0", "0", "", "0", "297", "466", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "22", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "21"
"2816", "20/06/14", "00505", "seq05_rgb_022.png", "seq05_nir_022.png", "seq05_gt_022.png", "", "0", "0", "", "0", "318", "428", "00:00:00", "Plateau expérimental - Corte", "", "", "", "8", "rouge/red", "0", "14", "", "39", "", "", "0", "", "", "1", "Université de Corse", "5", "22"
"2817", "20/06/14", "00505", "seq05_rgb_023.png", "seq05_nir_023.png", "seq05_gt_023.png", "", "0", "0", "", "0", "344", "437", "00:00:00", "Plateau expérimental - Corte", "", "", "", "8", "rouge/red", "0", "22", "", "40", "", "", "0", "", "", "1", "Université de Corse", "5", "23"
"2818", "20/06/14", "00505", "seq05_rgb_024.png", "seq05_nir_024.png", "seq05_gt_024.png", "", "0", "0", "", "0", "394", "410", "00:00:00", "Plateau expérimental - Corte", "", "", "", "7", "rouge/red", "0", "25", "", "38", "", "", "0", "", "", "1", "Université de Corse", "5", "24"
